========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
------------------------------------------------------------------------------------------------------------------------
1        OK       4.80 ± 0.60 (4.43-6.25)       208.2          159.9      159.9       0.3%
2        OK       3.87 ± 1.56 (1.71-6.71)       516.7          159.8       79.9       0.3%
3        OK       4.76 ± 0.60 (4.29-6.38)       629.6          160.1       53.4       0.3%
4        OK       4.82 ± 0.64 (4.34-6.66)       829.9          161.6       40.4       0.3%
5        OK       4.66 ± 0.66 (4.26-6.58)      1072.6          163.4       32.7       0.3%
6        OK       4.61 ± 0.60 (4.23-6.39)      1302.5          164.6       27.4       0.3%
7        OK       4.69 ± 0.58 (4.34-6.39)      1494.0          166.3       23.8       0.3%
8        OK       4.60 ± 0.62 (4.32-6.44)      1739.4          167.6       21.0       0.3%
9        OK       4.73 ± 0.74 (4.35-6.93)      1901.6          168.7       18.7       0.3%
10       OK       5.46 ± 0.55 (5.17-7.09)      1832.2          169.7       17.0       0.3%
11       OK       5.64 ± 0.30 (5.37-6.47)      1951.1          173.1       15.7       0.4%
12       OK       6.45 ± 1.32 (5.86-10.40)     1861.0          178.7       14.9       0.4%
13       OK       6.87 ± 1.40 (6.21-11.03)     1893.0          184.5       14.2       0.4%
14       OK       7.46 ± 1.54 (6.42-10.62)     1876.3          191.3       13.7       0.4%
15       OK       8.27 ± 2.20 (7.38-14.86)     1813.2          196.1       13.1       0.4%
16       OK       7.86 ± 0.20 (7.66-8.32)      2035.8          202.0       12.6       0.4%
17       OK       8.30 ± 0.19 (7.92-8.68)      2048.3          208.9       12.3       0.4%
18       OK       8.45 ± 0.31 (8.14-9.33)      2130.9          215.4       12.0       0.4%
19       OK       8.77 ± 0.24 (8.59-9.44)      2166.0          222.0       11.7       0.5%
20       OK       9.17 ± 0.24 (8.95-9.79)      2179.9          226.3       11.3       0.5%
21       OK       9.47 ± 0.27 (9.10-10.13)     2217.3          231.7       11.0       0.5%
22       OK       10.41 ± 0.34 (10.14-11.36)    2112.8          238.2       10.8       0.5%
23       OK       10.73 ± 0.28 (10.42-11.44)    2143.5          245.9       10.7       0.5%
24       OK       10.82 ± 0.26 (10.53-11.50)    2218.5          250.6       10.4       0.5%
25       OK       11.45 ± 0.17 (11.18-11.75)    2182.8          256.8       10.3       0.5%
26       OK       12.24 ± 2.35 (11.19-19.28)    2124.3          261.9       10.1       0.5%
27       OK       12.77 ± 2.57 (11.57-20.45)    2115.1          269.1       10.0       0.6%
28       OK       13.66 ± 1.87 (12.48-17.99)    2050.3          273.2        9.8       0.6%
29       OK       13.92 ± 2.13 (13.01-20.31)    2083.9          279.1        9.6       0.6%
30       OK       14.19 ± 1.99 (13.22-20.12)    2114.0          286.0        9.5       0.6%
31       OK       14.17 ± 0.97 (13.47-17.02)    2188.3          293.1        9.5       0.6%
32       OK       14.40 ± 0.54 (14.09-16.00)    2221.6          299.4        9.4       0.6%
33       OK       14.71 ± 0.77 (14.10-16.80)    2243.3          303.1        9.2       0.6%
34       OK       15.19 ± 0.13 (15.04-15.52)    2238.3          309.3        9.1       0.6%
35       OK       15.77 ± 0.25 (15.55-16.46)    2219.2          315.5        9.0       0.6%
36       OK       16.01 ± 0.21 (15.79-16.52)    2248.2          322.4        9.0       0.7%
37       OK       16.29 ± 0.30 (16.00-17.09)    2271.8          327.4        8.8       0.7%
38       OK       16.69 ± 0.32 (16.29-17.45)    2276.8          333.4        8.8       0.7%
39       OK       17.94 ± 3.08 (16.68-27.14)    2173.8          339.2        8.7       0.7%
40       OK       17.45 ± 0.21 (17.03-17.79)    2292.0          345.3        8.6       0.7%
41       OK       17.81 ± 0.23 (17.49-18.29)    2302.3          350.8        8.6       0.7%
42       OK       18.22 ± 0.28 (18.02-19.03)    2305.5          356.3        8.5       0.7%
43       OK       19.06 ± 0.28 (18.72-19.80)    2256.4          362.4        8.4       0.7%
44       OK       19.33 ± 0.23 (18.84-19.74)    2276.4          370.4        8.4       0.8%
45       OK       22.46 ± 1.35 (19.89-24.76)    2003.2          374.9        8.3       0.8%
46       OK       23.44 ± 1.78 (20.94-26.14)    1962.7          380.3        8.3       0.8%
47       OK       24.54 ± 3.12 (20.44-32.38)    1915.1          386.0        8.2       0.8%
48       OK       25.13 ± 5.77 (20.68-41.89)    1910.0          392.8        8.2       0.8%
49       OK       25.47 ± 5.63 (21.37-41.79)    1923.5          398.8        8.1       0.8%
50       OK       26.24 ± 3.81 (22.00-34.29)    1905.4          403.7        8.1       0.8%
51       OK       26.77 ± 2.75 (22.25-33.27)    1905.2          411.2        8.1       0.8%
52       OK       27.60 ± 4.72 (21.80-39.38)    1884.0          416.7        8.0       0.9%
53       OK       27.25 ± 2.63 (24.12-33.27)    1945.1          422.6        8.0       0.9%
54       OK       27.68 ± 3.60 (23.20-36.38)    1951.1          428.5        7.9       0.9%
55       OK       29.53 ± 4.65 (25.65-42.24)    1862.8          433.8        7.9       0.9%
56       OK       29.66 ± 2.81 (25.19-35.22)    1888.0          439.6        7.8       0.9%
57       OK       29.80 ± 5.34 (25.92-45.16)    1912.9          446.0        7.8       0.9%
58       OK       30.51 ± 3.12 (26.47-37.67)    1901.0          452.7        7.8       0.9%
59       OK       29.83 ± 2.72 (25.86-35.10)    1977.6          457.7        7.8       0.9%
60       OK       31.47 ± 5.48 (25.82-46.47)    1906.6          463.4        7.7       1.0%
61       OK       31.48 ± 4.41 (27.21-42.76)    1937.5          470.6        7.7       1.0%
62       OK       32.21 ± 3.02 (28.16-38.14)    1924.7          475.3        7.7       1.0%
63       OK       31.82 ± 3.29 (27.72-39.00)    1979.7          480.9        7.6       1.0%
64       OK       33.54 ± 5.52 (28.19-48.61)    1908.1          487.8        7.6       1.0%
65       OK       33.73 ± 2.51 (30.54-37.91)    1927.3          494.6        7.6       1.0%
66       OK       33.99 ± 5.57 (29.24-49.75)    1941.5          500.1        7.6       1.0%
67       OK       34.19 ± 2.80 (30.62-39.35)    1959.7          504.7        7.5       1.0%
68       OK       34.57 ± 2.43 (31.52-38.86)    1967.0          511.5        7.5       1.1%
69       OK       34.57 ± 4.59 (30.74-47.51)    1995.9          517.2        7.5       1.1%
70       OK       35.18 ± 2.89 (30.58-40.81)    1989.8          523.2        7.5       1.1%
71       OK       36.79 ± 4.78 (31.44-48.53)    1929.7          529.3        7.5       1.1%
72       OK       36.80 ± 4.30 (32.60-48.12)    1956.3          535.6        7.4       1.1%
73       OK       37.13 ± 3.26 (33.71-44.40)    1965.9          540.8        7.4       1.1%
74       OK       37.52 ± 5.56 (34.45-53.73)    1972.1          546.9        7.4       1.1%
75       OK       37.77 ± 3.71 (35.13-47.44)    1985.9          553.0        7.4       1.1%
76       OK       38.93 ± 4.21 (35.29-50.46)    1952.2          558.4        7.3       1.1%
77       OK       39.81 ± 6.36 (34.27-56.82)    1934.4          564.0        7.3       1.2%
78       OK       38.86 ± 3.83 (34.54-46.33)    2007.3          571.3        7.3       1.2%
79       OK       39.11 ± 2.61 (35.55-43.28)    2019.7          577.0        7.3       1.2%
80       OK       39.70 ± 2.78 (36.39-44.90)    2014.9          582.1        7.3       1.2%
81       OK       40.82 ± 3.69 (35.50-48.57)    1984.5          587.7        7.3       1.2%
82       OK       40.79 ± 4.30 (35.97-50.77)    2010.5          595.0        7.3       1.2%
83       OK       41.77 ± 3.06 (36.74-46.00)    1987.2          600.8        7.2       1.2%
84       OK       41.79 ± 2.83 (38.03-45.78)    2010.0          605.5        7.2       1.2%
85       OK       42.10 ± 2.68 (39.22-46.51)    2019.2          612.2        7.2       1.3%
86       OK       42.93 ± 2.95 (38.75-47.08)    2003.5          618.7        7.2       1.3%
87       OK       43.77 ± 4.04 (39.40-52.99)    1987.5          624.3        7.2       1.3%
88       OK       43.42 ± 2.21 (40.14-46.81)    2026.6          629.2        7.2       1.3%
89       OK       44.86 ± 3.06 (40.13-48.93)    1983.9          636.0        7.1       1.3%
90       OK       43.91 ± 2.58 (40.38-48.72)    2049.5          641.6        7.1       1.3%
91       OK       46.33 ± 5.77 (41.10-61.49)    1964.3          648.7        7.1       1.3%
92       OK       46.53 ± 4.02 (40.95-55.67)    1977.2          653.6        7.1       1.3%
93       OK       46.60 ± 4.01 (41.96-55.11)    1995.6          659.9        7.1       1.4%
94       OK       46.49 ± 4.12 (41.76-55.87)    2022.0          665.0        7.1       1.4%
95       OK       46.95 ± 2.77 (43.52-52.24)    2023.6          671.3        7.1       1.4%
96       OK       47.06 ± 2.59 (43.77-51.81)    2040.1          678.6        7.1       1.4%
97       OK       47.41 ± 2.96 (44.72-52.13)    2045.9          682.9        7.0       1.4%
98       OK       48.55 ± 4.10 (44.01-57.69)    2018.6          689.5        7.0       1.4%
99       OK       49.68 ± 3.95 (45.41-57.25)    1992.9          695.5        7.0       1.4%
100      OK       48.17 ± 3.41 (43.91-53.55)    2075.9          703.1        7.0       1.4%
101      OK       48.36 ± 2.68 (45.38-53.52)    2088.5          706.4        7.0       1.5%
102      OK       49.89 ± 3.09 (46.09-55.11)    2044.5          712.3        7.0       1.5%
103      OK       50.09 ± 2.95 (46.63-54.80)    2056.3          719.6        7.0       1.5%
104      OK       50.31 ± 3.15 (45.84-55.39)    2067.3          725.9        7.0       1.5%
105      OK       49.72 ± 2.55 (46.68-54.57)    2111.7          730.9        7.0       1.5%
106      OK       50.44 ± 2.97 (46.35-55.92)    2101.3          736.6        6.9       1.5%
107      OK       51.16 ± 2.95 (47.33-56.39)    2091.4          742.9        6.9       1.5%
108      OK       51.57 ± 2.73 (47.54-55.71)    2094.2          748.5        6.9       1.5%
109      OK       52.32 ± 3.21 (49.37-57.84)    2083.4          753.8        6.9       1.5%
110      OK       53.42 ± 2.92 (49.96-58.53)    2059.1          760.6        6.9       1.6%
111      OK       53.65 ± 3.02 (50.49-58.80)    2069.1          766.0        6.9       1.6%
112      OK       53.71 ± 3.43 (49.59-59.18)    2085.2          772.9        6.9       1.6%
113      OK       54.50 ± 2.87 (50.54-60.09)    2073.4          779.0        6.9       1.6%
114      OK       54.67 ± 3.05 (51.36-59.73)    2085.4          784.2        6.9       1.6%
115      OK       55.42 ± 2.95 (51.68-60.81)    2075.2          789.4        6.9       1.6%
116      OK       55.86 ± 3.07 (51.59-60.96)    2076.7          795.7        6.9       1.6%
117      OK       56.19 ± 3.33 (51.79-61.91)    2082.4          802.9        6.9       1.6%
118      OK       56.31 ± 3.66 (52.04-62.98)    2095.5          808.4        6.9       1.7%
119      OK       56.98 ± 3.38 (53.49-62.79)    2088.5          813.8        6.8       1.7%
120      OK       58.15 ± 3.34 (54.35-64.39)    2063.5          819.7        6.8       1.7%
121      OK       58.21 ± 3.23 (54.58-64.24)    2078.7          826.3        6.8       1.7%
122      OK       50.46 ± 0.29 (49.95-51.00)    2417.6          831.0        6.8       1.7%
123      OK       50.59 ± 0.27 (50.24-51.26)    2431.4          836.9        6.8       1.7%
