========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
------------------------------------------------------------------------------------------------------------------------
1        OK       34.19 ± 4.32 (32.58-47.13)      29.2        10583.0     10583.0      21.7%
2        OK       45.09 ± 0.35 (44.91-46.11)      44.4        10591.3     5295.7      21.8%
3        OK       49.54 ± 0.34 (49.36-50.55)      60.6        10600.6     3533.5      21.8%
4        OK       65.25 ± 0.18 (65.16-65.77)      61.3        10610.6     2652.6      21.8%
5        OK       73.93 ± 0.23 (73.71-74.53)      67.6        10649.8     2130.0      21.9%
6        OK       76.90 ± 0.61 (76.53-78.67)      78.0        10631.5     1771.9      21.8%
7        OK       86.62 ± 0.63 (86.12-88.47)      80.8        10681.1     1525.9      21.9%
8        OK       104.48 ± 0.70 (104.03-106.34)      76.6        10657.6     1332.2      21.9%
9        OK       111.76 ± 1.30 (110.82-114.27)      80.5        10719.2     1191.0      22.0%
10       OK       121.79 ± 1.33 (120.94-125.52)      82.1        10814.2     1081.4      22.2%
11       OK       128.12 ± 1.63 (126.87-132.43)      85.9        10682.7      971.2      21.9%
12       OK       131.01 ± 1.90 (129.49-134.31)      91.6        10694.2      891.2      22.0%
13       OK       138.45 ± 1.68 (137.46-143.20)      93.9        10705.2      823.5      22.0%
14       OK       150.78 ± 1.36 (149.64-153.67)      92.9        10742.3      767.3      22.1%
15       OK       158.99 ± 1.33 (157.94-162.21)      94.3        10767.6      717.8      22.1%
16       OK       170.09 ± 2.42 (168.69-176.12)      94.1        10744.0      671.5      22.1%
17       OK       185.44 ± 2.02 (183.60-190.04)      91.7        10762.5      633.1      22.1%
18       OK       185.65 ± 1.84 (183.73-190.12)      97.0        10816.6      600.9      22.2%
19       OK       193.05 ± 2.29 (191.13-197.34)      98.4        10779.6      567.3      22.1%
20       OK       206.83 ± 2.24 (204.96-211.80)      96.7        10805.2      540.3      22.2%
21       OK       217.75 ± 2.07 (215.84-221.37)      96.4        10813.4      514.9      22.2%
22       OK       219.61 ± 1.83 (217.56-223.15)     100.2        10821.5      491.9      22.2%
23       OK       226.70 ± 1.68 (224.80-229.29)     101.5        10835.1      471.1      22.3%
24       OK       249.20 ± 2.30 (247.31-253.26)      96.3        10843.0      451.8      22.3%
25       OK       266.51 ± 1.66 (264.94-269.33)      93.8        10855.6      434.2      22.3%
26       OK       274.86 ± 1.80 (272.41-278.86)      94.6        10879.2      418.4      22.4%
27       OK       281.05 ± 2.00 (279.29-284.79)      96.1        10882.8      403.1      22.4%
28       OK       281.94 ± 2.26 (279.68-286.58)      99.3        10914.1      389.8      22.4%
29       OK       287.26 ± 2.17 (284.93-291.14)     101.0        10905.3      376.0      22.4%
30       OK       297.88 ± 1.74 (295.94-300.57)     100.7        10943.2      364.8      22.5%
31       OK       303.26 ± 2.34 (300.37-306.46)     102.2        10948.9      353.2      22.5%
32       OK       332.47 ± 2.49 (328.88-336.34)      96.2        10943.7      342.0      22.5%
33       OK       337.38 ± 2.06 (335.25-340.09)      97.8        10957.6      332.0      22.5%
34       OK       344.90 ± 2.26 (341.24-349.27)      98.6        11014.0      323.9      22.6%
35       OK       350.75 ± 2.71 (348.33-355.43)      99.8        10990.2      314.0      22.6%
36       OK       358.18 ± 2.49 (355.66-362.47)     100.5        10991.1      305.3      22.6%
37       OK       356.89 ± 2.30 (353.64-361.32)     103.7        11004.7      297.4      22.6%
38       OK       362.42 ± 2.81 (359.50-367.99)     104.9        11024.2      290.1      22.7%
39       OK       381.96 ± 2.07 (379.41-386.15)     102.1        11029.6      282.8      22.7%
40       OK       397.58 ± 2.30 (394.20-401.90)     100.6        11062.0      276.6      22.7%
41       OK       394.71 ± 2.18 (392.36-398.97)     103.9        11052.4      269.6      22.7%
42       OK       410.38 ± 1.55 (408.45-412.73)     102.3        11083.1      263.9      22.8%
43       OK       416.52 ± 1.46 (414.34-418.91)     103.2        11134.9      259.0      22.9%
44       OK       420.68 ± 2.78 (417.24-425.28)     104.6        11091.1      252.1      22.8%
45       OK       428.71 ± 1.45 (426.66-430.52)     105.0        11102.6      246.7      22.8%
46       OK       443.23 ± 1.52 (440.72-445.77)     103.8        11133.0      242.0      22.9%
47       OK       464.06 ± 1.34 (462.44-466.30)     101.3        11130.7      236.8      22.9%
48       OK       481.24 ± 2.25 (478.29-486.08)      99.7        11146.6      232.2      22.9%
49       OK       477.82 ± 1.69 (475.02-480.28)     102.5        11153.9      227.6      22.9%
50       OK       493.93 ± 0.75 (493.01-495.79)     101.2        11165.7      223.3      22.9%
51       OK       498.06 ± 2.03 (495.35-501.67)     102.4        11221.4      220.0      23.1%
52       OK       494.61 ± 1.70 (491.83-498.05)     105.1        11205.3      215.5      23.0%
53       OK       510.69 ± 1.84 (508.36-513.04)     103.8        11202.9      211.4      23.0%
54       OK       506.79 ± 1.77 (504.33-508.79)     106.6        11213.5      207.7      23.0%
55       OK       548.99 ± 1.92 (546.46-552.11)     100.2        11233.4      204.2      23.1%
56       OK       582.26 ± 1.36 (580.88-585.80)      96.2        11238.1      200.7      23.1%
57       OK       552.34 ± 1.19 (550.45-554.51)     103.2        11250.8      197.4      23.1%
58       OK       569.98 ± 1.76 (567.32-573.40)     101.8        11262.0      194.2      23.1%
59       OK       575.82 ± 1.52 (573.26-578.76)     102.5        11299.3      191.5      23.2%
60       OK       581.68 ± 2.15 (578.25-584.97)     103.1        11345.7      189.1      23.3%
61       OK       586.79 ± 2.58 (583.35-591.54)     104.0        11300.7      185.3      23.2%
62       OK       595.38 ± 2.25 (592.03-598.36)     104.1        11319.4      182.6      23.3%
63       OK       590.01 ± 2.31 (586.35-593.78)     106.8        11325.5      179.8      23.3%
64       OK       619.47 ± 1.66 (616.83-622.90)     103.3        11338.6      177.2      23.3%
65       OK       602.60 ± 0.85 (601.54-604.26)     107.9        11350.7      174.6      23.3%
66       OK       606.13 ± 1.51 (603.61-608.22)     108.9        11363.5      172.2      23.3%
67       OK       629.35 ± 1.47 (627.20-632.72)     106.5        11379.6      169.8      23.4%
68       OK       635.25 ± 2.17 (631.66-639.01)     107.0        11415.8      167.9      23.5%
69       OK       643.07 ± 2.06 (639.53-647.83)     107.3        11398.5      165.2      23.4%
70       OK       647.34 ± 1.51 (644.52-649.78)     108.1        11412.6      163.0      23.4%
71       OK       658.61 ± 1.85 (655.36-661.93)     107.8        11433.9      161.0      23.5%
72       OK       665.84 ± 1.98 (662.22-668.95)     108.1        11437.9      158.9      23.5%
73       OK       672.68 ± 1.63 (669.33-675.84)     108.5        11450.7      156.9      23.5%
74       OK       676.67 ± 1.26 (674.40-678.84)     109.4        11468.3      155.0      23.6%
75       OK       687.65 ± 1.52 (685.05-690.59)     109.1        11476.3      153.0      23.6%
76       OK       703.07 ± 1.29 (700.43-705.04)     108.1        11497.4      151.3      23.6%
77       OK       711.10 ± 1.24 (708.71-713.60)     108.3        11499.8      149.3      23.6%
78       OK       724.26 ± 1.57 (721.33-726.70)     107.7        11510.3      147.6      23.6%
79       OK       743.49 ± 1.12 (740.94-745.52)     106.3        11523.7      145.9      23.7%
80       OK       751.07 ± 1.29 (748.32-752.96)     106.5        11552.7      144.4      23.7%
81       OK       740.77 ± 1.34 (738.70-743.24)     109.3        11553.0      142.6      23.7%
82       OK       752.66 ± 1.19 (750.56-754.35)     108.9        11559.9      141.0      23.8%
83       OK       756.16 ± 0.89 (754.78-758.07)     109.8        11572.0      139.4      23.8%
84       OK       774.66 ± 1.56 (771.01-777.39)     108.4        11599.5      138.1      23.8%
85       OK       781.74 ± 1.04 (779.41-782.96)     108.7        11613.1      136.6      23.9%
86       OK       794.93 ± 1.64 (791.20-797.83)     108.2        11608.7      135.0      23.9%
87       OK       814.90 ± 1.15 (812.09-816.56)     106.8        11622.1      133.6      23.9%
88       OK       804.91 ± 1.08 (802.32-806.56)     109.3        11633.9      132.2      23.9%
89       OK       827.89 ± 0.91 (825.92-829.46)     107.5        11646.1      130.9      23.9%
90       OK       823.37 ± 1.15 (820.57-824.96)     109.3        11671.5      129.7      24.0%
