base_var, ray_var, working_set_ratio, num_stages, object_store_size,object_size,baseline_pipeline,ray_pipeline
0.0,0.0,1,1,1000000000,10000000,0.8042163980135228,0.32380583800841123
0.0,0.0,1,1,1000000000,20000000,0.8327243730018381,0.33329849501024
0.0,0.0,1,1,1000000000,40000000,0.6767350010049995,0.3928325790038798
0.0,0.0,1,1,1000000000,80000000,0.603460262005683,0.30283875699387863
0.0,0.0,1,1,1000000000,160000000,0.09286023300956003,0.08396277998690493
0.0,0.0,1,1,4000000000,10000000,1.2523791540006641,1.3776759159809444
0.0,0.0,1,1,4000000000,20000000,1.3501354150066618,1.3922528130060527
0.0,0.0,1,1,4000000000,40000000,1.8856107119936496,1.7334622940106783
0.0,0.0,1,1,4000000000,80000000,1.6817882600007579,1.7542221379990224
0.0,0.0,1,1,4000000000,160000000,1.2653813420038205,1.720526791003067
0.0,0.0,2,1,1000000000,10000000,0.66669137601275,2.812371229985729
0.0,0.0,2,1,1000000000,20000000,0.6632914729998447,2.867095343011897
0.0,0.0,2,1,1000000000,40000000,0.7446496159827802,0.9411075020034332
0.0,0.0,2,1,1000000000,80000000,0.6602871940121986,0.7718964770028833
0.0,0.0,2,1,1000000000,160000000,0.691327912005363,0.7397597589879297
0.0,0.0,2,1,4000000000,10000000,2.561206509009935,2.4900970649905503
0.0,0.0,2,1,4000000000,20000000,2.817582014016807,2.942824666009983
0.0,0.0,2,1,4000000000,40000000,3.4122474970063195,3.451287753006909
0.0,0.0,2,1,4000000000,80000000,3.3389271189807914,3.323411875986494
0.0,0.0,2,1,4000000000,160000000,3.1875265399867203,3.238212278985884
0.0,0.0,4,1,1000000000,10000000,1.3356278949941043,5.500730542000383
0.0,0.0,4,1,1000000000,20000000,1.384511222015135,3.5649097679997794
0.0,0.0,4,1,1000000000,40000000,1.606603485008236,4.071235461015021
0.0,0.0,4,1,1000000000,80000000,1.3367347120074555,3.8799134980072267
0.0,0.0,4,1,1000000000,160000000,1.563062492001336,1.8934568990080152
0.0,0.0,4,1,4000000000,10000000,5.646149415988475,21.195709585008444
0.0,0.0,4,1,4000000000,20000000,5.873794290993828,20.725728776975302
0.0,0.0,4,1,4000000000,40000000,6.883523214986781,21.737173097004415
0.0,0.0,4,1,4000000000,80000000,6.597504018980544,21.082582931994693
0.0,0.0,4,1,4000000000,160000000,6.555041117011569,22.777005047013517
0.0,0.0,8,1,1000000000,10000000,2.6052481299848296,6.717740077991039
0.0,0.0,8,1,1000000000,20000000,2.636381745978724,2.912329608021537
0.0,0.0,8,1,1000000000,40000000,3.308203644992318,3.3995360580156557
0.0,0.0,8,1,1000000000,80000000,2.627067255001748,5.489523857017048
0.0,0.0,8,1,1000000000,160000000,2.4582934970094357,7.096462060988415
0.0,0.0,8,1,4000000000,10000000,10.903986474004341,134.35535268098465
0.0,0.0,8,1,4000000000,20000000,11.699215247994289,134.5968111460097
0.0,0.0,8,1,4000000000,40000000,13.410789921996184,135.5409806620155
0.0,0.0,8,1,4000000000,80000000,13.202503615990281,135.23738007998327
0.0,0.0,8,1,4000000000,160000000,12.674589611007832,137.3193542349909
