working_set_ratio, num_stages, object_store_size,object_size,baseline_pipeline,ray_pipeline
1,1,1000000000,10000000,0.31281156219993134,0.39830557899986163
1,1,1000000000,20000000,0.2727170614001807,0.37937054520007224
1,1,1000000000,40000000,0.3241821487998095,0.1877676997999515
1,1,1000000000,80000000,0.0761566031997063,0.07654799180054397
1,1,1000000000,160000000,0.09747876839974197,0.25630263420061966
1,1,5000000000,10000000,1.6307221033999668,1.6047796602000743
1,1,5000000000,20000000,1.6347472721998202,1.640097553599844
1,1,5000000000,40000000,1.7022930949995498,1.665794399000515
1,1,5000000000,80000000,1.4327954623997357,1.4320118121999257
1,1,5000000000,160000000,1.183678869799769,0.9892664151997451
1,1,10000000000,10000000,0.9794355719994201,0.9822269683998457
1,1,10000000000,20000000,2.384303768200334,2.2790588444000606
1,1,10000000000,40000000,2.0293918878000112,1.9092519522000657
1,1,10000000000,80000000,44.68466969719957,48.70558288219981
1,1,10000000000,160000000,9.946164659200075,10.09720897039988
2,1,1000000000,10000000,0.564237767600207,2.3322736571997664
2,1,1000000000,20000000,0.4859787863995734,1.2019507256001816
2,1,1000000000,40000000,0.4939798552000866,2.0055923194002387
2,1,1000000000,80000000,0.2039061870000296,0.353285085600146
2,1,1000000000,160000000,0.23518082999980833,0.16715922280018275
2,1,5000000000,10000000,2.9714672990001416,3.0036571675998855
2,1,5000000000,20000000,3.317716496599678,3.3109900327996002
2,1,5000000000,40000000,3.3157190662001086,3.4321343068000716
2,1,5000000000,80000000,2.854040175600312,3.0768201750004662
2,1,5000000000,160000000,2.2569103304002054,2.553214092399867
2,1,10000000000,10000000,1.8735105908006517,1.8667783204000443
2,1,10000000000,20000000,3.6494558410002353,3.7504406729996846
2,1,10000000000,40000000,7.123696597200251,6.555966142400211
2,1,10000000000,80000000,47.306159478599874,44.21994473100021
2,1,10000000000,160000000,8.076028875599878,14.857079981000425
4,1,1000000000,10000000,1.2224371183994662,4.634973178199653
4,1,1000000000,20000000,1.0421344861999386,3.4694507410004007
4,1,1000000000,40000000,0.8217875903999812,3.1554078191998998
4,1,1000000000,80000000,0.5039810828002373,2.1543424464001872
4,1,1000000000,160000000,0.38287983759946653,3.5131963078005355
4,1,5000000000,10000000,6.229165220599316,6.275191302000167
4,1,5000000000,20000000,6.519585215999905,6.514404007800477
4,1,5000000000,40000000,6.581337738200091,6.9008475102000375
4,1,5000000000,80000000,5.816470001400376,6.141265471000224
4,1,5000000000,160000000,4.570242084199708,5.064289953200205
4,1,10000000000,10000000,13.100134370600426,13.45092601460019
4,1,10000000000,20000000,11.214958412400302,12.376836990000083
4,1,10000000000,40000000,18.39608205500008,12.75231442080003
4,1,10000000000,80000000,12.213685471999998,12.60398084640001
4,1,10000000000,160000000,80.3899281371996,120.3911062985986
8,1,1000000000,10000000,2.3346207720001986,6.422790676600561
8,1,1000000000,20000000,2.1373892885989334,6.4987228874008
8,1,1000000000,40000000,1.5911641095997766,4.160524510598771
8,1,1000000000,80000000,0.7496399640003801,4.650746851800795
8,1,1000000000,160000000,1.8870485578001535,7.80500894559882
8,1,5000000000,10000000,13.154209742600505,13.551068013400073
8,1,5000000000,20000000,13.060761567399458,13.101194960001157
8,1,5000000000,40000000,13.091624793999653,13.847725049199653
8,1,5000000000,80000000,11.38592458580024,12.09966309839947
8,1,5000000000,160000000,8.840136147399608,9.678889287600759
8,1,10000000000,10000000,23.393568734798464,68.24337269460011
8,1,10000000000,20000000,25.597235981399717,25.74475060600089
8,1,10000000000,40000000,26.367255660999945,26.902902024800277
8,1,10000000000,80000000,24.073064875399723,24.58326858319997
8,1,10000000000,160000000,128.99019365139975,193.4434469988002
16,1,1000000000,10000000,4.856431156799954,12.085037997600011
16,1,1000000000,20000000,4.183438244599529,12.858162883200567
16,1,1000000000,40000000,3.21273957579906,9.92142243039998
16,1,1000000000,80000000,1.4262326891999693,13.660075663200406
16,1,1000000000,160000000,1.7062115152002661,7.5799494437997055
16,1,5000000000,10000000,25.628245662199333,26.072269408000285
16,1,5000000000,20000000,25.434564065399172,25.46188426499939
16,1,5000000000,40000000,25.80367125680059,26.81318661160112
16,1,5000000000,80000000,22.853237033600454,25.01455871860089
16,1,5000000000,160000000,17.525281921200076,20.24412755079975
16,1,10000000000,10000000,52.02312480500113,53.15029126439913
16,1,10000000000,40000000,53.228945142999144,53.9781813268004
16,1,10000000000,80000000,48.05574171379995,49.51131764160018
16,1,10000000000,160000000,38.0824588187992,40.57275903940026
