working_set_ratio, num_stages, object_store_size,object_size,baseline_pipeline,ray_pipeline
1,1,1000000000,40000000,0.27493146340011665,0.23842545039979085
1,1,1000000000,160000000,0.10511887700004081,0.18134521760002825
1,1,5000000000,40000000,1.6535216198000853,1.594505646000016
1,1,5000000000,160000000,1.2088075235998985,1.0547535927998979
2,1,1000000000,40000000,0.34973397879984985,1.2611310933998539
2,1,1000000000,160000000,0.2806110337998689,0.25386254720006035
2,1,5000000000,40000000,3.373337207399891,3.6389158873999805
2,1,5000000000,160000000,2.337683608600128,2.430902335799874
4,1,1000000000,40000000,0.7664847517999988,3.932962105600018
4,1,1000000000,160000000,0.2742681043999255,2.593294894399969
4,1,5000000000,40000000,6.659678500399968,7.130938854200122
4,1,5000000000,160000000,4.491717066199817,5.167844050199892
8,1,1000000000,40000000,1.6680870125998808,7.9261974675999225
8,1,1000000000,160000000,1.8248412067999198,6.349641708600029
8,1,5000000000,40000000,13.357937623199906,14.400589957000012
8,1,5000000000,160000000,9.062070797600063,10.623374167600014
16,1,1000000000,40000000,3.237025144999825,15.306096106600126
16,1,1000000000,160000000,1.7468700428002193,14.203534706400024
16,1,5000000000,40000000,26.541236038199713,28.86802316739995
16,1,5000000000,160000000,18.06924032019997,20.58175107040024
