Comparing 1 vs 8 request_router replicas:
gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,routing_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,disable_stream,max_conversations,num_prompts,ray_vllm:prompt_tokens_total,ray_vllm:generation_tokens_total,ray_vllm:request_success_total,ray_vllm:time_to_first_token_seconds,ray_vllm:time_per_output_token_seconds,ray_vllm:e2e_request_latency_seconds,ray_vllm:request_queue_time_seconds,ray_vllm:request_inference_time_seconds,ray_vllm:request_prefill_time_seconds,ray_vllm:request_decode_time_seconds
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,pow_of_2,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.1369713,0.0240466,2.5688803,0.0277097,2.5411705,0.1092616,2.4319089
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,pow_of_2,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.1368862,0.0242383,2.588131,0.0259992,2.5621318,0.110887,2.4512448
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0957149,0.0210193,2.2217037,0.0239584,2.1977453,0.0717565,2.1259888
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0983216,0.0210628,2.2286575,0.0255523,2.2031052,0.0727693,2.1303359
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router,pow_of_2,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.1603258,0.0246814,2.6563736,0.0362776,2.620096,0.1240481,2.4960478
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.1125278,0.0202638,2.1619602,0.0337439,2.1282163,0.078784,2.0494323

Comparing eviction vs no_eviction:
gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,routing_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,disable_stream,max_conversations,num_prompts,ray_vllm:prompt_tokens_total,ray_vllm:generation_tokens_total,ray_vllm:request_success_total,ray_vllm:time_to_first_token_seconds,ray_vllm:time_per_output_token_seconds,ray_vllm:e2e_request_latency_seconds,ray_vllm:request_queue_time_seconds,ray_vllm:request_inference_time_seconds,ray_vllm:request_prefill_time_seconds,ray_vllm:request_decode_time_seconds
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_10M_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0793595,0.0205366,2.1563355,0.0148734,2.141462,0.0644861,2.076976
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0923864,0.021416,2.2582791,0.0152214,2.2430576,0.077165,2.1658926
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_no_tracking_not_fifo,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0893737,0.0213445,2.2479013,0.0147591,2.2331423,0.0746146,2.1585276
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0971315,0.0216104,2.2827148,0.0172328,2.2654819,0.0798987,2.1855833
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.093972,0.0215348,2.271898,0.0153274,2.2565706,0.0786446,2.177926
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,eviction_400K_360K_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102094.0,996.0,0.1118447,0.021778,2.3086836,0.0120357,2.2734484,0.0772651,2.1961833
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,pow_of_2,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.1290037,0.0236815,2.523747,0.0198772,2.5038699,0.1091265,2.3947433
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,pow_of_2,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.132108,0.023706,2.5293478,0.0217434,2.5076044,0.1103647,2.3972398
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0778253,0.0203945,2.1403845,0.013559,2.1268254,0.0642663,2.0625592
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,no_eviction_no_tracking,prefix_aware,10,200,40,100,False,False,False,10000,1000,1781449.0,102163.0,1001.0,0.0811934,0.0205752,2.1620465,0.0145167,2.1475297,0.0666767,2.080853
