time,replica_id,match_rate
14.61,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0
18.96,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,1.0
18.97,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,0.0
18.98,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.0
19.2,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0005913077756972504
19.21,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.00060234916173075
19.26,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0005890437855880621
21.1,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,0.0007903055848261328
21.22,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0009390931043734908
21.4,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0005345211581291759
22.44,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.000630119722747322
22.7,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.8799503414028553
25.64,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.0010527701013291224
25.85,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0008746355685131195
25.87,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.000741839762611276
25.9,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,1.0
25.91,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0007108764090585965
26.35,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.9534438775510204
26.51,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0006120575334081404
26.89,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0007352941176470588
27.25,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.0006033789219629927
27.49,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,0.0009679203539823009
28.22,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0010791852151625524
28.29,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0008592295574967779
29.03,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,1.0
29.36,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.0023345234825597363
29.47,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0010209290454313426
29.95,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,0.0006706908115358819
30.25,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,0.0006676840900419688
30.53,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.000633445945945946
31.14,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.9223255266564669
31.16,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,1.0
31.44,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#tjjsos18,0.0008598452278589854
32.06,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9kpkvo6w,1.0
33.38,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#9ax4zczk,0.0006202832626899617
33.66,SERVE_REPLICA::llm_app#LLMDeploymentQwen--Qwen2_5-1_5B-Instruct#klh44f7m,1.0
