num_searched,search_duration
1,3.337860107421875e-06
1,3.0994415283203125e-06
1,1.1920928955078125e-06
1,1.9073486328125e-06
2,3.5762786865234375e-06
1,1.430511474609375e-06
7,3.5762786865234375e-06
1,4.76837158203125e-07
2,1.430511474609375e-06
4,1.430511474609375e-06
5,3.337860107421875e-06
3,3.5762786865234375e-06
8,6.198883056640625e-06
8,3.5762786865234375e-06
7,1.6689300537109375e-06
2,1.1920928955078125e-06
5,2.6226043701171875e-06
4,1.9073486328125e-06
4,1.9073486328125e-06
4,3.0994415283203125e-06
1,9.5367431640625e-07
1,9.5367431640625e-07
5,4.5299530029296875e-06
1,9.5367431640625e-07
1,1.430511474609375e-06
5,5.9604644775390625e-06
6,3.337860107421875e-06
2,9.5367431640625e-07
3,1.1920928955078125e-06
5,4.0531158447265625e-06
2,1.1920928955078125e-06
2,1.1920928955078125e-06
1,9.5367431640625e-07
7,4.76837158203125e-06
1,9.5367431640625e-07
6,4.0531158447265625e-06
3,1.9073486328125e-06
2,1.6689300537109375e-06
1,4.76837158203125e-07
1,1.1920928955078125e-06
1,1.430511474609375e-06
1,1.430511474609375e-06
1,9.5367431640625e-07
1,9.5367431640625e-07
1,4.76837158203125e-07
2,1.1920928955078125e-06
1,1.1920928955078125e-06
1,2.1457672119140625e-06
1,1.1920928955078125e-06
1,1.1920928955078125e-06
1,2.1457672119140625e-06
2,1.430511474609375e-06
1,1.6689300537109375e-06
1,1.6689300537109375e-06
1,7.152557373046875e-07
1,2.6226043701171875e-06
1,2.384185791015625e-06
1,3.0994415283203125e-06
1,1.6689300537109375e-06
1,1.9073486328125e-06
1,9.5367431640625e-07
1,1.6689300537109375e-06
1,9.5367431640625e-07
1,9.5367431640625e-07
2,1.1920928955078125e-06
1,7.152557373046875e-07
1,1.430511474609375e-06
1,7.152557373046875e-07
1,1.9073486328125e-06
1,9.5367431640625e-07
1,1.430511474609375e-06
1,1.430511474609375e-06
1,1.1920928955078125e-06
1,1.6689300537109375e-06
1,1.430511474609375e-06
1,9.5367431640625e-07
1,9.5367431640625e-07
1,1.1920928955078125e-06
1,9.5367431640625e-07
1,1.6689300537109375e-06
1,2.1457672119140625e-06
1,9.5367431640625e-07
2,2.1457672119140625e-06
1,9.5367431640625e-07
1,1.430511474609375e-06
1,9.5367431640625e-07
1,7.152557373046875e-07
1,1.430511474609375e-06
1,1.1920928955078125e-06
3,2.86102294921875e-06
2,1.6689300537109375e-06
1,1.430511474609375e-06
1,7.152557373046875e-07
1,1.6689300537109375e-06
1,9.5367431640625e-07
1,1.1920928955078125e-06
1,9.5367431640625e-07
1,2.384185791015625e-06
1,1.9073486328125e-06
1,1.1920928955078125e-06
1,1.430511474609375e-06
1,9.5367431640625e-07
2,1.430511474609375e-06
2,2.6226043701171875e-06
1,1.430511474609375e-06
1,1.1920928955078125e-06
1,7.152557373046875e-07
3,3.5762786865234375e-06
1,1.430511474609375e-06
1,1.6689300537109375e-06
1,7.152557373046875e-07
1,1.6689300537109375e-06
1,1.430511474609375e-06
1,9.5367431640625e-07
1,1.6689300537109375e-06
1,1.6689300537109375e-06
1,1.430511474609375e-06
1,1.430511474609375e-06
1,1.430511474609375e-06
1,1.1920928955078125e-06
1,7.152557373046875e-07
2,1.9073486328125e-06
1,1.1920928955078125e-06
1,1.9073486328125e-06
1,1.430511474609375e-06
1,1.1920928955078125e-06
1,9.5367431640625e-07
1,1.430511474609375e-06
1,1.1920928955078125e-06
