gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,disable_stream,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,pow_of_2,10,200,40,100,False,False,False,10000,1000,66.8992,1000,14.9479,26599.6846,1524.278,198.2699,167.6356,126.9089,718.5575,24.1711,23.6075,5.2724,42.9326,23.8946,1.4515,31.6176,110.7927,2608.8537,2571.9305
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,prefix_aware,10,200,40,100,False,False,False,10000,1000,58.4723,1000,17.1021,30433.1988,1743.9551,157.7728,121.7732,137.2092,824.5793,21.1607,20.2204,4.2363,36.2506,20.8962,1.3622,27.9219,101.8263,2266.4143,2200.5062
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,pow_of_2,10,200,40,100,False,False,False,10000,1000,67.4891,1000,14.8172,26367.1884,1510.9549,199.7935,167.6333,121.7483,719.9732,24.6706,23.8183,5.7393,43.3296,24.0863,1.5125,31.8881,147.5925,2629.7589,2566.4052
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,8_routers,prefix_aware,10,200,40,100,False,False,False,10000,1000,58.5924,1000,17.0671,30370.7988,1740.3793,162.5061,122.0937,145.9047,820.5,21.1687,20.2343,4.4276,34.5096,20.926,1.3747,27.9685,101.9394,2274.0575,2209.2118

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router,pow_of_2,10,200,40,100,False,False,False,10000,1000,71.1559,1000,14.0536,25008.4373,1433.0926,270.7777,232.9972,159.4871,975.2985,25.411,25.0467,5.3045,44.067,24.7256,12.2638,31.4081,146.756,2771.6827,2718.0779
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_match,pow_of_2,10,200,40,100,False,False,False,10000,1000,73.283,1000,13.6457,24282.5382,1391.4954,286.8,242.7986,175.1777,1064.1454,25.8534,25.291,5.229,44.1484,25.2972,14.7193,31.9928,147.9894,2845.1335,2796.1325
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_delay,pow_of_2,10,200,40,100,False,False,False,10000,1000,72.3857,1000,13.8149,24583.5439,1408.7443,315.7749,280.5789,159.1972,980.9117,25.7974,25.1792,6.1559,46.9628,24.778,14.2504,31.0107,147.1508,2822.9854,2786.9237
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_delay_match,pow_of_2,10,200,40,100,False,False,False,10000,1000,72.4745,1000,13.798,24553.4394,1407.0192,321.0326,289.073,150.5773,951.0545,25.4603,24.7721,5.7178,45.8779,24.7312,13.5054,31.2762,147.5261,2822.9501,2752.1709

L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router,prefix_aware,10,200,40,100,False,False,False,10000,1000,61.9218,1000,16.1494,28737.8069,1646.8017,322.4075,286.0759,167.3679,1066.8754,20.8937,19.8743,3.9616,33.2852,20.4139,19.6403,24.7967,106.9072,2398.5698,2339.4954
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_match,prefix_aware,10,200,40,100,False,False,False,10000,1000,62.4217,1000,16.0201,28507.6845,1633.6147,341.7808,301.7615,168.9339,1134.606,20.9194,19.8927,4.1101,34.7672,20.3513,19.2221,24.7253,107.3227,2413.106,2320.2051
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_delay,prefix_aware,10,200,40,100,False,False,False,10000,1000,70.1495,1000,14.2553,25367.224,1453.6526,431.6562,419.1354,155.5547,1077.456,23.3346,22.5056,5.029,40.9019,22.4099,19.0094,27.7612,119.1976,2715.0613,2666.677
L4,Qwen/Qwen2.5-1.5B-Instruct,4,True,True,1_router_delay_match,prefix_aware,10,200,40,100,False,False,False,10000,1000,62.9031,1000,15.8975,28289.5318,1621.1136,381.7307,352.6088,148.4302,953.0619,20.911,19.8255,4.473,35.7012,20.2502,19.6497,24.5752,105.6277,2442.3159,2347.3206


gpu_type,model_name,num_servers,enable_prefix_caching,enable_chunked_prefill,benchmark_label,scheduler_strategy,min_output_len,max_output_len,max_concurrency,request_rate,with_warmup,disable_ignore_eos,disable_stream,max_conversations,num_prompts,duration,completed,request_throughput,input_throughput,output_throughput,mean_ttft_ms,median_ttft_ms,std_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,std_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,std_itl_ms,p99_itl_ms,mean_e2e_latency_ms,median_e2e_latency_ms
Eviction:
