========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
------------------------------------------------------------------------------------------------------------------------
1        OK       13.89 ± 1.08 (13.48-17.12)      72.0          135.0      135.0       0.3%
2        OK       13.83 ± 1.13 (13.38-17.20)     144.7          136.7       68.4       0.3%
3        OK       13.92 ± 1.24 (13.47-17.62)     215.6          138.4       46.1       0.3%
4        OK       13.93 ± 1.17 (13.46-17.43)     287.1          141.7       35.4       0.3%
5        OK       13.94 ± 1.25 (13.46-17.69)     358.8          153.0       30.6       0.3%
6        OK       13.94 ± 1.21 (13.45-17.56)     430.5          164.6       27.4       0.3%
7        OK       14.15 ± 1.30 (13.68-18.06)     494.7          176.2       25.2       0.4%
8        OK       13.83 ± 1.24 (13.38-17.54)     578.6          189.5       23.7       0.4%
9        OK       13.92 ± 1.31 (13.43-17.84)     646.6          199.6       22.2       0.4%
10       OK       13.91 ± 1.31 (13.44-17.83)     718.7          210.8       21.1       0.4%
11       OK       14.14 ± 1.30 (13.66-18.04)     778.1          223.2       20.3       0.5%
12       OK       14.93 ± 0.99 (14.39-17.87)     803.7          234.2       19.5       0.5%
13       OK       16.05 ± 0.72 (15.53-18.17)     810.1          248.0       19.1       0.5%
14       OK       16.96 ± 0.37 (16.55-18.00)     825.5          260.5       18.6       0.5%
15       OK       17.99 ± 0.14 (17.70-18.30)     833.9          271.4       18.1       0.6%
16       OK       18.63 ± 0.18 (18.25-19.05)     859.0          283.1       17.7       0.6%
17       OK       19.86 ± 0.18 (19.48-20.26)     856.1          294.4       17.3       0.6%
18       OK       20.92 ± 0.15 (20.72-21.33)     860.5          305.1       16.9       0.6%
19       OK       21.98 ± 0.10 (21.85-22.27)     864.4          316.9       16.7       0.7%
20       OK       22.51 ± 0.11 (22.28-22.75)     888.6          329.9       16.5       0.7%
21       OK       23.82 ± 0.09 (23.61-24.03)     881.4          341.2       16.2       0.7%
22       OK       24.94 ± 0.10 (24.68-25.12)     882.2          353.2       16.1       0.7%
23       OK       25.88 ± 0.08 (25.72-26.04)     888.7          365.7       15.9       0.8%
24       OK       26.47 ± 0.10 (26.20-26.55)     906.6          378.3       15.8       0.8%
25       OK       27.86 ± 0.06 (27.78-27.93)     897.3          388.8       15.6       0.8%
26       OK       28.84 ± 0.09 (28.60-28.91)     901.5          400.3       15.4       0.8%
27       OK       29.81 ± 0.09 (29.60-29.93)     905.9          413.6       15.3       0.8%
28       OK       30.38 ± 0.06 (30.25-30.44)     921.8          424.1       15.1       0.9%
29       OK       31.93 ± 0.07 (31.77-32.01)     908.2          435.1       15.0       0.9%
30       OK       33.20 ± 0.08 (33.02-33.30)     903.6          448.1       14.9       0.9%
31       OK       33.83 ± 0.04 (33.76-33.87)     916.5          458.6       14.8       0.9%
32       OK       34.94 ± 0.12 (34.77-35.27)     915.9          472.1       14.8       1.0%
33       OK       35.94 ± 0.07 (35.80-36.01)     918.1          484.4       14.7       1.0%
34       OK       37.37 ± 0.03 (37.32-37.40)     909.9          495.5       14.6       1.0%
35       OK       37.91 ± 0.02 (37.89-37.95)     923.2          507.2       14.5       1.0%
36       OK       38.81 ± 0.06 (38.68-38.88)     927.5          518.2       14.4       1.1%
