========================================================================================================================
MODEL PROFILING RESULTS
========================================================================================================================
PERFORMANCE METRICS:
------------------------------------------------------------------------------------------------------------------------
Batch    Status   Latency (ms)              Throughput   Memory (MB)  MB/Sample    Memory %
------------------------------------------------------------------------------------------------------------------------
1        OK       4.94 ± 0.29 (4.79-5.79)       202.3           22.9       22.9       0.0%
2        OK       5.01 ± 0.29 (4.90-5.86)       399.6           24.2       12.1       0.0%
3        OK       5.02 ± 0.28 (4.90-5.87)       597.9           24.3        8.1       0.0%
4        OK       5.03 ± 0.34 (4.89-6.04)       795.3           24.6        6.1       0.1%
5        OK       5.04 ± 0.34 (4.90-6.04)       992.0           26.3        5.3       0.1%
6        OK       5.07 ± 0.33 (4.94-6.04)      1184.6           28.9        4.8       0.1%
7        OK       5.05 ± 0.37 (4.90-6.16)      1386.9           31.1        4.4       0.1%
8        OK       5.04 ± 0.35 (4.90-6.08)      1587.7           32.7        4.1       0.1%
9        OK       5.07 ± 0.38 (4.93-6.20)      1774.0           34.4        3.8       0.1%
10       OK       5.06 ± 0.35 (4.92-6.11)      1975.3           36.1        3.6       0.1%
11       OK       5.05 ± 0.34 (4.91-6.05)      2179.4           37.9        3.4       0.1%
12       OK       5.08 ± 0.34 (4.92-6.09)      2364.5           39.6        3.3       0.1%
13       OK       5.05 ± 0.33 (4.92-6.02)      2576.2           41.3        3.2       0.1%
14       OK       5.06 ± 0.39 (4.90-6.21)      2768.9           43.1        3.1       0.1%
15       OK       5.05 ± 0.37 (4.91-6.17)      2970.0           45.6        3.0       0.1%
16       OK       5.04 ± 0.34 (4.90-6.06)      3176.3           46.8        2.9       0.1%
17       OK       5.05 ± 0.39 (4.89-6.20)      3367.2           49.2        2.9       0.1%
18       OK       5.04 ± 0.41 (4.87-6.26)      3573.5           50.5        2.8       0.1%
19       OK       5.04 ± 0.37 (4.90-6.15)      3767.8           52.4        2.8       0.1%
20       OK       5.03 ± 0.37 (4.88-6.15)      3976.3           55.3        2.8       0.1%
21       OK       5.03 ± 0.38 (4.88-6.17)      4170.9           56.1        2.7       0.1%
22       OK       5.02 ± 0.38 (4.88-6.15)      4378.2           58.0        2.6       0.1%
23       OK       5.22 ± 0.61 (4.87-6.95)      4407.0           62.4        2.7       0.1%
24       OK       5.43 ± 0.53 (4.89-6.17)      4421.8           62.9        2.6       0.1%
25       OK       5.03 ± 0.38 (4.87-6.16)      4974.4           64.2        2.6       0.1%
26       OK       5.08 ± 0.37 (4.93-6.19)      5113.4           65.9        2.5       0.1%
27       OK       5.08 ± 0.37 (4.93-6.20)      5314.7           68.7        2.5       0.1%
28       OK       5.11 ± 0.39 (4.90-6.23)      5480.8           69.4        2.5       0.1%
29       OK       5.03 ± 0.37 (4.90-6.14)      5761.3           71.1        2.5       0.1%
30       OK       5.09 ± 0.41 (4.92-6.31)      5894.0           74.5        2.5       0.2%
31       OK       5.10 ± 0.40 (4.94-6.30)      6080.1           75.2        2.4       0.2%
32       OK       5.10 ± 0.41 (4.94-6.33)      6268.9           76.7        2.4       0.2%
33       OK       5.06 ± 0.40 (4.90-6.26)      6515.9           78.5        2.4       0.2%
34       OK       5.08 ± 0.41 (4.92-6.31)      6696.8           81.8        2.4       0.2%
35       OK       5.10 ± 0.40 (4.93-6.30)      6867.4           82.3        2.4       0.2%
36       OK       5.13 ± 0.41 (4.96-6.34)      7019.9           84.1        2.3       0.2%
37       OK       5.08 ± 0.42 (4.91-6.32)      7285.0           88.3        2.4       0.2%
38       OK       5.06 ± 0.39 (4.90-6.23)      7513.1           88.4        2.3       0.2%
39       OK       5.11 ± 0.41 (4.94-6.33)      7635.0           89.7        2.3       0.2%
40       OK       5.11 ± 0.41 (4.95-6.35)      7829.9           91.6        2.3       0.2%
41       OK       5.06 ± 0.40 (4.88-6.26)      8107.0           94.8        2.3       0.2%
42       OK       5.08 ± 0.40 (4.89-6.24)      8267.8           95.3        2.3       0.2%
43       OK       5.06 ± 0.40 (4.90-6.27)      8499.4           97.2        2.3       0.2%
44       OK       5.06 ± 0.41 (4.89-6.29)      8703.5          101.3        2.3       0.2%
45       OK       5.08 ± 0.42 (4.88-6.33)      8865.5          101.4        2.3       0.2%
46       OK       5.08 ± 0.39 (4.92-6.25)      9060.6          102.8        2.2       0.2%
47       OK       5.06 ± 0.40 (4.91-6.26)      9284.2          104.7        2.2       0.2%
48       OK       5.07 ± 0.40 (4.90-6.28)      9473.4          107.8        2.2       0.2%
49       OK       5.06 ± 0.41 (4.90-6.28)      9679.4          108.4        2.2       0.2%
50       OK       5.07 ± 0.40 (4.92-6.28)      9854.7          110.3        2.2       0.2%
51       OK       5.09 ± 0.40 (4.92-6.29)     10017.4          114.3        2.2       0.2%
52       OK       5.05 ± 0.40 (4.89-6.24)     10301.7          114.4        2.2       0.2%
53       OK       5.08 ± 0.39 (4.93-6.26)     10430.6          115.9        2.2       0.2%
54       OK       5.06 ± 0.41 (4.90-6.29)     10665.2          120.7        2.2       0.2%
55       OK       5.05 ± 0.40 (4.89-6.24)     10882.1          120.9        2.2       0.2%
56       OK       5.07 ± 0.40 (4.90-6.25)     11056.0          121.5        2.2       0.2%
57       OK       5.07 ± 0.41 (4.91-6.29)     11245.9          123.3        2.2       0.3%
58       OK       5.07 ± 0.41 (4.91-6.29)     11430.1          127.3        2.2       0.3%
59       OK       5.08 ± 0.39 (4.92-6.26)     11609.4          127.4        2.2       0.3%
60       OK       5.09 ± 0.41 (4.93-6.31)     11783.7          128.9        2.1       0.3%
61       OK       5.11 ± 0.41 (4.94-6.33)     11934.1          133.7        2.2       0.3%
62       OK       5.10 ± 0.38 (4.95-6.25)     12155.3          133.9        2.2       0.3%
63       OK       5.11 ± 0.41 (4.96-6.32)     12334.3          134.5        2.1       0.3%
64       OK       5.10 ± 0.40 (4.95-6.30)     12538.5          136.4        2.1       0.3%
65       OK       5.10 ± 0.40 (4.95-6.29)     12738.4          140.3        2.2       0.3%
66       OK       5.10 ± 0.40 (4.95-6.29)     12935.1          140.4        2.1       0.3%
67       OK       5.12 ± 0.38 (4.98-6.27)     13085.7          142.0        2.1       0.3%
68       OK       5.12 ± 0.39 (4.97-6.28)     13284.0          146.7        2.2       0.3%
69       OK       5.12 ± 0.40 (4.96-6.33)     13469.3          146.9        2.1       0.3%
70       OK       5.10 ± 0.39 (4.96-6.26)     13717.2          147.6        2.1       0.3%
71       OK       5.13 ± 0.40 (4.96-6.32)     13852.0          149.5        2.1       0.3%
72       OK       5.11 ± 0.39 (4.96-6.27)     14083.3          153.3        2.1       0.3%
