+----------------------------------------+------------+-------+--------+------------------+-------------+----------+
| Trial name                             | status     | loc   |   iter |   total time (s) |   timesteps |   reward |
|----------------------------------------+------------+-------+--------+------------------+-------------+----------|
| IMPALA_BreakoutNoFrameskip-v4_84d6d8e6 | TERMINATED |       |    297 |          3606.54 |     6304000 |   362.33 |
| IMPALA_BreakoutNoFrameskip-v4_84d75776 | TERMINATED |       |    295 |          3605.31 |     6274500 |   361.79 |
| IMPALA_BreakoutNoFrameskip-v4_84d7c2f6 | TERMINATED |       |    294 |          3606.04 |     6267500 |   298.03 |
| IMPALA_BreakoutNoFrameskip-v4_84d9bfa2 | TERMINATED |       |    294 |          3609.24 |     6256500 |   358.66 |
| PPO_BreakoutNoFrameskip-v4_84dafff2    | TERMINATED |       |    550 |          3605.93 |     2750000 |    34.19 |
| PPO_BreakoutNoFrameskip-v4_84dc19e6    | TERMINATED |       |    546 |          3604.47 |     2730000 |    39.9  |
| PPO_BreakoutNoFrameskip-v4_84dc8be2    | TERMINATED |       |    545 |          3603.96 |     2725000 |    18.28 |
| PPO_BreakoutNoFrameskip-v4_84dda946    | TERMINATED |       |    549 |          3601.85 |     2745000 |    28.13 |
| APEX_BreakoutNoFrameskip-v4_84e092fa   | TERMINATED |       |    113 |          3622.29 |     3535840 |    18.75 |
| APEX_BreakoutNoFrameskip-v4_84e13336   | TERMINATED |       |    113 |          3604.95 |     3556960 |    28.56 |
| APEX_BreakoutNoFrameskip-v4_84e44026   | TERMINATED |       |    113 |          3608.22 |     3453440 |    12.88 |
| APEX_BreakoutNoFrameskip-v4_84e81cbe   | TERMINATED |       |    113 |          3600.83 |     3566880 |    32.35 |
| A2C_BreakoutNoFrameskip-v4_84e9aa48    | TERMINATED |       |    350 |          3609.93 |     3094500 |   102.92 |
| A2C_BreakoutNoFrameskip-v4_84eb23fa    | TERMINATED |       |    350 |          3609.93 |     3000000 |   141.7  |
| A2C_BreakoutNoFrameskip-v4_84eba21c    | TERMINATED |       |    349 |          3601.24 |     3009500 |    87.86 |
| A2C_BreakoutNoFrameskip-v4_84eeb7c2    | TERMINATED |       |    349 |          3600.57 |     3037500 |    83.63 |
| DQN_BreakoutNoFrameskip-v4_84efd378    | TERMINATED |       |     32 |          3628.85 |      320000 |    11.45 |
| DQN_BreakoutNoFrameskip-v4_84f13bf0    | TERMINATED |       |     31 |          3686.04 |      310000 |    10.33 |
| DQN_BreakoutNoFrameskip-v4_84f68b8c    | TERMINATED |       |     32 |          3686.78 |      320000 |    17.51 |
| DQN_BreakoutNoFrameskip-v4_84f7152a    | TERMINATED |       |     32 |          3601.57 |      320000 |    16.78 |
+----------------------------------------+------------+-------+--------+------------------+-------------+----------+
